Total Number of Aligned Reads:	199998	Total Number of Mapped Genomes:	211							
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|568206	0.1376732632	0.7874878749	157496	0.0020600206	0.7854278543	0.1336592531	0.1661521615	33230.1000000578	0.0015300153	0.7859578596
ti|198094	0.1356844879	0.0083600836	1672	2.000020000200002e-05	0.0083400834	0.1336203023	0.1249850832	24996.7666667062	2.000020000200002e-05	0.7371073711
ti|260799	0.1323285735	5.000050000500005e-05	10	0	5.000050000500005e-05	0.1335533693	0.1256362564	25127.0000000386	0	0.7368273683
ti|768494	0.1322183283	0	0	0	0	0.1335511431	0.1290637906	25812.5000000386	8.000080000800008e-05	0.7263172632
ti|592021	0.1317820206	0	0	0	0	0.1335423131	0.1250315836	25006.0666667063	0	0.7381773818
ti|261594	0.1317820206	0	0	0	0	0.1335423131	0.1250290836	25005.5666667063	0	0.7381773818
ti|525381	0.0628551719	0.0277802778	5556	0.0036300363	0.0241502415	0.0165222501	0.008476993	1695.3816442644	0.0004700047	0.0272102721
ti|1130804	0.0628372492	0.000100001	20	1.000010000100001e-05	9.000090000900009e-05	0.0165219519	0.0049813963	996.2692951271	0	0.0212102121
ti|487213	0.0628325951	0	0	0	0	0.0165219279	0.0052493245	1049.8543968674	0	0.0219702197
ti|267747	0.0036609304	0.0277202772	5544	0.0277202772	0	0.0022694395	0.0097293949	1945.8595238095	0.0012600126	0.0264602646
