Total Number of Aligned Reads:	199986	Total Number of Mapped Genomes:	237							
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|176279	0.625236065	0.1014371006	20286	0.1014371006	0	0.4373425747	0.0765576833	15310.4648573649	0.0959767184	0.0054403808
ti|568206	0.0626445951	0.4319302351	86380	0.0009100637	0.4310201714	0.0623517784	0.0888777214	17774.2999999938	0.0006600462	0.4312701889
ti|261594	0.0623404425	0.0095806706	1916	0	0.0095806706	0.0623457092	0.0705567723	14110.3666666555	0	0.414228996
ti|592021	0.0623404425	0	0	0	0	0.0623457092	0.0705617727	14111.3666666555	0	0.4142389967
ti|198094	0.0623404425	0.0002100147	42	0	0.0002100147	0.0623457091	0.0706252771	14124.0666666556	0	0.4137889652
ti|260799	0.0623403166	2.000140009800686e-05	4	0	2.000140009800686e-05	0.0623457066	0.0703124219	14061.4999999882	0	0.4117088196
ti|768494	0.0620686339	0	0	0	0	0.0623402607	0.0707969558	14158.3999999862	9.000630044103088e-05	0.401728121
ti|748671	0.0002316034	0.1077175402	21542	0.1077175402	0	0.0002315531	0.1076100327	21520.5	0.1073175122	0.000400028
ti|525381	0.0001975746	0.0167111698	3342	0.0167111698	0	5.298798899166385e-05	0.0050694198	1013.8129803545	0.0003500245	0.0161911334
ti|83331	0.0001265606	0.1687118098	33740	0.1687118098	0	2.346858493990986e-05	0.0376932695	7538.126190476	0.001700119	0.1670116908
